,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
1175,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",english-and-scottish-strong-ale
1176,Aurora,6.0,8.0,,Northern Brewer,kolsch-and-altbier
1177,Boadicea,8.0,9.0,,spicy,kolsch-and-altbier
1178,Cascade,3.0,5.0,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.,kolsch-and-altbier
1179,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",kolsch-and-altbier
1180,Hallertau Aroma,6.5,8.5,Perle,A dual purpose hop which has been used to replace Perle,kolsch-and-altbier
1181,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",kolsch-and-altbier
1182,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,kolsch-and-altbier
1183,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,kolsch-and-altbier
1184,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,kolsch-and-altbier
1185,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",kolsch-and-altbier
1186,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",kolsch-and-altbier
1187,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",kolsch-and-altbier
1188,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,kolsch-and-altbier
1189,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,kolsch-and-altbier
1190,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",kolsch-and-altbier
1191,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,kolsch-and-altbier
1192,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,kolsch-and-altbier
1193,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,kolsch-and-altbier
1194,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,kolsch-and-altbier
1195,Pacifica,5.0,6.0,Hallertau family,An aroma hop with some citrus and floral character,kolsch-and-altbier
1196,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",kolsch-and-altbier
1197,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",kolsch-and-altbier
1198,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",kolsch-and-altbier
1199,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",kolsch-and-altbier
1200,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,kolsch-and-altbier
1201,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,kolsch-and-altbier
1202,Sladek,5.0,6.0,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.,kolsch-and-altbier
1203,Smaragd,4.0,6.0,,Fruity and floral aromas.,kolsch-and-altbier
1204,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",kolsch-and-altbier
1205,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,kolsch-and-altbier
1206,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",kolsch-and-altbier
1207,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,kolsch-and-altbier
1208,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,kolsch-and-altbier
1209,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",kolsch-and-altbier
1210,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",kolsch-and-altbier
1211,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",kolsch-and-altbier
1212,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",kolsch-and-altbier
1213,Taurus,12.0,17.0,Magnum,high-alpha hop,kolsch-and-altbier
1214,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",kolsch-and-altbier
1215,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",kolsch-and-altbier
1216,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,kolsch-and-altbier
1217,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",kolsch-and-altbier
1218,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,kolsch-and-altbier
1219,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",kolsch-and-altbier
1220,Boadicea,8.0,9.0,,spicy,belgian-lambic-and-sour-ale
1221,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",belgian-lambic-and-sour-ale
1222,Hallertauer,3.5,5.5,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy.",belgian-lambic-and-sour-ale
1223,Hallertauer Gold,6.0,6.5,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.,belgian-lambic-and-sour-ale
1224,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,belgian-lambic-and-sour-ale
1225,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,belgian-lambic-and-sour-ale
1226,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",belgian-lambic-and-sour-ale
1227,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",belgian-lambic-and-sour-ale
1228,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",belgian-lambic-and-sour-ale
1229,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,belgian-lambic-and-sour-ale
1230,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,belgian-lambic-and-sour-ale
1231,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",belgian-lambic-and-sour-ale
1232,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",belgian-lambic-and-sour-ale
1233,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",belgian-lambic-and-sour-ale
1234,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",belgian-lambic-and-sour-ale
1235,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",belgian-lambic-and-sour-ale
1236,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,belgian-lambic-and-sour-ale
1237,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,belgian-lambic-and-sour-ale
1238,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,belgian-lambic-and-sour-ale
1239,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",belgian-lambic-and-sour-ale
1240,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,belgian-lambic-and-sour-ale
1241,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,belgian-lambic-and-sour-ale
1242,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",belgian-lambic-and-sour-ale
1243,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",belgian-lambic-and-sour-ale
1244,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",belgian-lambic-and-sour-ale
1245,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",belgian-lambic-and-sour-ale
1246,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",belgian-lambic-and-sour-ale
1247,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,belgian-lambic-and-sour-ale
1248,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",belgian-lambic-and-sour-ale
1249,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,belgian-lambic-and-sour-ale
1250,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",belgian-lambic-and-sour-ale
