,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
152,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,india-pale-ale
153,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,india-pale-ale
154,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,india-pale-ale
155,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",india-pale-ale
156,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",india-pale-ale
157,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",india-pale-ale
158,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",india-pale-ale
159,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",india-pale-ale
160,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",india-pale-ale
161,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",india-pale-ale
162,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",india-pale-ale
163,Riwaka,4.5,6.5,"Czech Saaz, possible American ""C"" hops","Citrusy, grapefruit aroma hop",india-pale-ale
164,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,india-pale-ale
165,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,india-pale-ale
166,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,india-pale-ale
167,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",india-pale-ale
168,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,india-pale-ale
169,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",india-pale-ale
170,Summer,5.6,6.4,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping.",india-pale-ale
171,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,india-pale-ale
172,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,india-pale-ale
173,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",india-pale-ale
174,Super Pride,14.0,14.0,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.,india-pale-ale
175,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",india-pale-ale
176,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,india-pale-ale
177,Wai-iti,3.4,3.4,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest",india-pale-ale
178,Waimea,16.0,19.0,,High alpha but also lots of oils giving fresh tangelo and citrus fruit aroma with pine needles,india-pale-ale
179,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",india-pale-ale
180,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,india-pale-ale
181,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",india-pale-ale
182,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",india-pale-ale
183,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,india-pale-ale
184,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,india-pale-ale
185,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",wheat-beer
186,Belma,12.1,12.1,,"Clean bitterness, citrus, tropical fruit flavors.",wheat-beer
187,Boadicea,8.0,9.0,,spicy,wheat-beer
188,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",wheat-beer
189,Cashmere,7.7,9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",wheat-beer
190,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,wheat-beer
191,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",wheat-beer
192,Cluster,5.5,8.5,Galena,Medium and quite spicy.,wheat-beer
193,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",wheat-beer
194,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",wheat-beer
195,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",wheat-beer
196,Eroica,9.0,12.0,"Chinook, Galena, Nugget",Strong but pleasant aroma.,wheat-beer
197,Green Bullet,11.0,14.0,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.,wheat-beer
