,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
776,Stephane Richer,33,RW,TOT,56,15,22,37,9,18,10,5,0,1,15,7,0,110,13.6,775,13:50,4.4
777,Stephane Richer,33,RW,STL,36,8,17,25,7,14,4,4,0,1,12,5,0,63,12.7,484,13:27,2.9
778,Stephane Richer,33,RW,TBL,20,7,5,12,2,4,6,1,0,0,3,2,0,47,14.9,290,14:31,1.5
779,Barry Richter,29,D,MTL,23,0,2,2,-5,8,0,0,0,0,1,1,0,13,0.0,282,12:15,0.3
780,Byron Ritchie,22,C,CAR,26,0,2,2,-10,17,0,0,0,0,1,1,0,13,0.0,193,7:24,-0.5
781,Jamie Rivers,24,D,NYI,75,1,16,17,-4,84,0,1,0,0,12,4,0,95,1.1,1474,19:39,3.0
782,Craig Rivet,25,D,MTL,61,3,14,17,11,76,3,0,0,1,13,1,0,71,4.2,1162,19:03,4.9
783,Gary Roberts,33,LW,CAR,69,23,30,53,-10,62,11,12,0,1,26,4,0,150,15.3,1278,18:31,5.6
784,Bert Robertsson,25,D,EDM,52,0,4,4,-3,34,0,0,0,0,3,0,1,31,0.0,562,10:49,0.8
785,Stephane Robidas,22,D,MTL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:54,0.0
786,Luc Robitaille,33,LW,LAK,71,36,38,74,11,68,23,13,0,7,25,13,0,221,16.3,1318,18:34,9.2
787,Randy Robitaille,24,C,NSH,69,11,14,25,-13,10,9,2,0,1,5,9,0,113,9.7,888,12:52,1.9
788,Dave Roche,24,LW,CGY,2,0,0,0,-1,5,0,0,0,0,0,0,0,3,0.0,17,8:33,-0.1
789,Marc Rodgers,27,RW,DET,21,1,1,2,-3,10,1,0,0,0,1,0,0,17,5.9,166,7:55,-0.1
790,Jeremy Roenick,30,C,PHX,75,34,44,78,11,102,25,6,3,12,30,13,1,192,17.7,1564,20:51,9.1
791,Stacy Roest,25,C,DET,49,7,9,16,-1,12,6,1,0,1,9,0,0,56,12.5,487,9:56,1.4
792,Brian Rolston,26,LW,TOT,77,16,15,31,-12,18,11,5,0,6,10,5,0,206,7.8,1381,17:56,2.1
793,Brian Rolston,26,LW,COL,50,8,10,18,-6,12,7,1,0,3,7,3,0,107,7.5,815,16:18,1.1
794,Brian Rolston,26,LW,BOS,16,5,4,9,-4,6,2,3,0,1,3,1,0,66,7.6,355,22:13,0.7
795,Brian Rolston,26,LW,NJD,11,3,1,4,-2,0,2,1,0,2,0,1,0,33,9.1,211,19:09,0.3
796,Dale Rominski,24,RW,TBL,3,0,1,1,1,2,0,0,0,0,1,0,0,0,,25,8:23,0.1
797,Cliff Ronning,34,C,NSH,82,26,36,62,-13,34,19,7,0,2,19,17,0,248,10.5,1490,18:11,6.4
798,Pavel Rosa,22,RW,LAK,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,34,11:21,-0.1
799,Bob Rouse,35,D,SJS,26,0,1,1,-3,19,0,0,0,0,0,0,1,20,0.0,388,14:56,0.3
800,Andre Roy,24,LW,OTT,73,4,3,7,3,145,4,0,0,1,3,0,0,39,10.3,474,6:29,0.5
801,Michal Rozsival,21,D,PIT,75,4,17,21,11,48,3,1,0,1,17,0,0,73,5.5,1426,19:01,4.4
802,Steve Rucchin,28,C,MDA,71,19,38,57,9,16,9,10,0,2,32,6,0,131,14.5,1576,22:12,5.5
803,Martin Rucinsky,28,LW,MTL,80,25,24,49,1,70,17,7,1,4,11,13,0,242,10.3,1512,18:54,5.8
804,Jarkko Ruutu,24,LW,VAN,8,0,1,1,-1,6,0,0,0,0,1,0,0,4,0.0,70,8:47,-0.1
805,Joe Sacco,30,LW,WSH,79,7,16,23,7,50,7,0,0,1,14,0,2,117,6.0,936,11:51,1.8
806,Joe Sakic,30,C,COL,60,28,53,81,30,28,22,5,1,5,36,17,0,242,11.6,1396,23:16,10.1
807,Ruslan Salei,25,D,MDA,71,5,5,10,3,94,4,1,0,0,3,2,0,116,4.3,1444,20:21,3.4
808,Sami Salo,25,D,OTT,37,6,8,14,6,2,3,3,0,1,6,2,0,85,7.1,751,20:18,3.4
809,Sergei Samsonov,21,LW,BOS,77,19,26,45,-6,4,13,6,0,3,18,8,0,145,13.1,1273,16:32,4.4
810,Ulf Samuelsson,35,D,PHI,49,1,2,3,8,58,1,0,0,1,2,0,0,17,5.9,768,15:40,2.2
811,Geoff Sanderson,27,LW,BUF,67,13,13,26,4,22,9,4,0,3,12,1,0,136,9.6,865,12:54,2.8
812,Oleg Saprykin,18,C,CGY,4,0,1,1,-4,2,0,0,0,0,0,1,0,2,0.0,50,12:35,-0.1
813,Yves Sarault,27,LW,OTT,11,0,2,2,-3,7,0,0,0,0,2,0,0,13,0.0,100,9:03,-0.1
814,Cory Sarich,21,D,TOT,59,0,6,6,-6,77,0,0,0,0,4,1,1,69,0.0,1095,18:34,1.2
815,Cory Sarich,21,D,BUF,42,0,4,4,2,35,0,0,0,0,3,1,0,49,0.0,743,17:42,1.3
816,Cory Sarich,21,D,TBL,17,0,2,2,-8,42,0,0,0,0,1,0,1,20,0.0,352,20:42,-0.1
817,Miroslav Satan,25,RW,BUF,81,33,34,67,16,32,25,5,3,5,26,7,1,265,12.5,1667,20:35,8.3
818,Andre Savage,24,C,BOS,43,7,13,20,-8,10,5,2,0,1,10,3,0,70,10.0,631,14:40,1.5
819,Brian Savage,28,RW,MTL,38,17,12,29,-4,19,10,6,1,5,12,0,0,107,15.9,682,17:56,3.7
820,Marc Savard,22,C,CGY,78,22,31,53,-2,56,18,4,0,3,22,9,0,184,12.0,1294,16:36,5.4
821,Kevin Sawyer,25,RW,PHX,3,0,0,0,1,12,0,0,0,0,0,0,0,0,,7,2:20,0.0
