,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
844,Marc-Edouard Vlasic,29,SJS,D,75,1109,1209,47.8,-5.4,808,820,49.6,-4.3,10.1,90.6,100.6,44.7,55.3,21:04,17:06,23,61,0.6,314,45.2
845,Jakub Voracek,27,PHI,RW,82,1276,1167,52.2,1.5,934,858,52.1,0.7,8.0,88.8,96.8,53.3,46.7,19:04,15:28,24,56,-0.8,470,53.2
846,Jakub Vrana,20,WSH,LW,21,215,173,55.4,3.0,150,127,54.2,2.1,5.1,96.9,101.9,58.3,41.7,11:07,9:18,4,9,0.4,56,57.1
847,Radim Vrbata,35,ARI,RW,81,1025,1166,46.8,2.1,774,918,45.7,1.7,8.2,90.5,98.7,43.7,56.3,16:54,13:57,34,32,-14.8,408,56.9
848,Chris Wagner,25,ANA,C,43,235,315,42.7,-8.8,180,246,42.3,-9.7,7.0,95.0,102.1,51.8,48.2,9:21,7:53,4,13,-2.1,69,58.0
849,Lucas Wallmark,21,CAR,C,8,75,79,48.7,-4.5,58,56,50.9,-1.9,7.3,94.1,101.4,55.9,44.1,10:52,10:43,3,1,0.9,19,57.9
850,Joel Ward,36,SJS,RW,78,987,966,50.5,-1.1,700,684,50.6,-2.1,7.9,91.6,99.5,49.3,50.7,15:50,13:14,34,52,-2.0,210,50.0
851,David Warsofsky,26,PIT,D,7,103,108,48.8,-2.8,77,79,49.4,-3.0,7.1,88.9,96.0,62.9,37.1,15:44,14:00,2,3,-1.0,31,45.2
852,Austin Watson,25,NSH,LW,77,624,786,44.3,-8.9,464,540,46.2,-6.0,9.1,94.9,103.9,29.1,70.9,12:25,10:31,24,14,-1.6,154,58.4
853,Jordan Weal,24,PHI,C,23,315,249,55.9,6.5,236,180,56.7,6.6,8.9,91.1,100.1,61.1,38.9,14:19,12:44,14,6,7.2,73,67.1
854,Shea Weber,31,MTL,D,78,1409,1338,51.3,-1.6,1016,939,52.0,-0.4,7.4,94.9,102.3,46.8,53.2,25:04,18:52,11,80,6.5,411,44.5
855,Yannick Weber,28,NSH,D,73,752,825,47.7,-4.6,548,603,47.6,-4.3,8.2,92.0,100.2,57.1,42.9,11:55,11:32,9,27,-4.1,152,47.4
856,MacKenzie Weegar,23,FLA,D,3,36,33,52.2,12.1,27,29,48.2,6.2,4.8,95.7,100.4,81.8,18.2,17:27,15:32,1,0,0.1,5,60.0
